Num	X	Y	MyVar
58	4.84972369115955	48.0477361168402	12
59	5.73102920704211	49.5271876732586	9
60	7.0759085866157	48.7614474724202	4
61	7.7669027109708	49.0077047421752	7
62	4.21030588506255	48.4845538108687	21
63	6.79270995858436	47.9333001829218	-9
64	7.1505892710217	48.3253219529676	-19
65	6.45095336879603	49.427199285749	9
66	3.65652939661716	48.9835179716271	17
67	3.69104373070877	49.0344882981929	19
68	6.18582547021409	48.7313948474669	8
69	4.63862069859169	49.2457836550505	16
70	7.42704811269262	47.6242934339292	8
71	7.6322886501827	48.6928942075465	6
72	5.665446242628	49.2508049594859	9
73	5.85267542915729	48.9923725714131	7
74	4.69958152327066	49.5140414970616	17
75	6.39297609461937	48.5500316265582	6
76	5.17500742385164	49.4014083860675	7
77	4.09876881392362	48.5159030088301	21
78	7.03644400963094	48.3730696199539	0
79	5.05537071932728	48.4234105289215	8
80	7.31020186686267	48.5913935889645	-17
81	7.44518553900222	48.3600317700766	11
82	6.6236599603435	48.5720523656346	5
83	5.9785869694703	48.1272252204362	3
84	5.56104468647391	47.9955922388084	6
85	4.41932587422586	49.3808940452291	17
86	5.7474743577186	48.5708963898554	3
87	7.03937824054932	48.3628210841756	-1
88	4.38404065863385	49.3768222600144	18
89	7.22861325162618	47.540603234161	1
90	3.76912531776664	48.2886831571426	24
91	4.29047729303905	49.5841014537339	19
92	5.22873819021819	48.6058780915337	9
93	6.29624381909768	47.9816463884975	9
94	6.13831796788145	49.4086959850198	8
95	5.58895040093921	47.7277739276178	12
96	6.00780511077028	48.2131168870643	8
97	6.34249809896573	49.4180343081243	12
98	4.03197075500308	48.5681604530352	22
99	5.72579536276559	49.4644790552945	9
100	6.98323635551302	48.5733086812931	3
101	3.92603333387524	48.1228830863644	24
102	5.7018831941532	49.5391806637635	9
103	5.58451333576037	49.3090421661812	11
104	7.80248827704539	48.771067241168	8
105	6.53923379311648	48.4101226755107	4
106	7.55391937828002	48.5366239228752	8
107	7.98822560390302	49.0158258543815	1
108	4.70344425974569	49.8808638773238	6
109	4.8121138108351	49.3109983424656	14
110	4.25725903656955	49.1607530214436	21
111	5.63655531227899	48.8117859164874	3
112	6.38611913992402	48.3717973666886	4
113	5.85740991123021	48.0305756876478	8
114	5.80023605636476	48.8421533658014	4
115	7.03407040529419	49.0333609605053	6
116	4.96048484009225	48.5546544645137	14
117	5.68782615909974	48.8102586946528	7
118	6.65440814546309	48.0540361074964	-13
119	6.4385712101357	48.3354985422532	4
120	4.13844385603443	49.6486314790479	19
121	4.62552484617724	48.2518244568103	11
122	7.03200315621992	48.6052878263096	2
123	4.54683050940124	48.5121915674924	18
124	7.32334861399916	48.271017219134	-12
125	4.29639682418201	49.082639636045	20
126	5.36764707843152	48.0608313775544	5
127	4.81198971664223	49.6473049685204	13
128	6.16148597673358	48.0635843910277	7
129	5.35347157332581	48.0607318067147	6
130	4.71189656512191	49.0543433261725	15
131	7.57916499891629	48.1331112459302	13
132	5.32144900089285	48.8449991672921	1
133	6.62875817060315	48.6010848770772	7
134	6.94226174615324	48.6719658177656	5
135	4.6888900626994	48.7751703893688	17
136	5.20767066837288	48.3316414773775	7
137	4.20767364891556	49.678171088725	17
138	4.17351510402902	49.3732288892303	19
139	3.98307281926585	48.8439952069117	18
140	4.5588722769171	49.077600620881	17
141	4.61125845562977	49.637257978747	14
142	7.38812856352888	48.6050819043691	-9
143	6.05754741820662	48.4769012604374	6
144	5.15668614476453	48.5024662858341	6
145	4.39907942592011	49.3714640894905	17
146	4.82778618224741	48.182902981566	11
147	3.98033763099617	48.7762512981038	21
148	6.20690673682839	47.9928864041964	7
149	7.56559567149573	48.7035564859786	7
150	4.75580462964717	49.9006130911487	11
